Date,Open,High,Low,Close Close price adjusted for splits.,Adj Close Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
"Jan 3, 2025",52800.00,55100.00,52800.00,54400.00,54400.00,19318046
"Jan 2, 2025",52700.00,53600.00,52300.00,53400.00,53400.00,16630538
"Dec 30, 2024",53300.00,54000.00,53100.00,53200.00,53200.00,12624702
"Dec 27, 2024",53500.00,54100.00,53200.00,53700.00,53700.00,10747196
"Dec 26, 2024",54500.00,54600.00,53500.00,53600.00,53600.00,10517075
"Dec 24, 2024",53700.00,54500.00,53600.00,54400.00,54400.00,11634677
"Dec 23, 2024",53400.00,54000.00,53300.00,53500.00,53500.00,13672650
"Dec 20, 2024",52700.00,53100.00,51900.00,53000.00,53000.00,24674774
"Dec 19, 2024",53500.00,53800.00,53100.00,53100.00,53100.00,22481925
"Dec 18, 2024",54100.00,55400.00,54000.00,54900.00,54900.00,13698937
"Dec 17, 2024",54700.00,55200.00,54000.00,54200.00,54200.00,20215230
"Dec 16, 2024",56300.00,56600.00,55200.00,55600.00,55600.00,15277277
"Dec 13, 2024",55800.00,56300.00,55500.00,56100.00,56100.00,15908823
"Dec 12, 2024",54000.00,56500.00,53900.00,55900.00,55900.00,33476698
"Dec 11, 2024",53600.00,54200.00,53400.00,54000.00,54000.00,14565947
"Dec 10, 2024",54500.00,54500.00,53700.00,54000.00,54000.00,20783970
"Dec 9, 2024",53500.00,54600.00,53200.00,53400.00,53400.00,26227680
"Dec 6, 2024",53900.00,54400.00,52700.00,54100.00,54100.00,22861874
"Dec 5, 2024",53200.00,54400.00,53200.00,53700.00,53700.00,23588277
"Dec 4, 2024",52000.00,53400.00,52000.00,53100.00,53100.00,29004766
"Dec 3, 2024",53100.00,54400.00,53100.00,53600.00,53600.00,23374603
"Dec 2, 2024",54300.00,54400.00,53100.00,53600.00,53600.00,22044867
"Nov 29, 2024",55100.00,55300.00,53800.00,54200.00,54200.00,24513531
"Nov 28, 2024",56000.00,56400.00,55200.00,55500.00,55500.00,20001134
"Nov 27, 2024",57700.00,57800.00,56000.00,56300.00,56300.00,21808387
"Nov 26, 2024",57900.00,58900.00,57500.00,58300.00,58300.00,23209405
"Nov 25, 2024",57400.00,57900.00,56700.00,57900.00,57900.00,36237325
"Nov 22, 2024",56000.00,56700.00,55900.00,56000.00,56000.00,15281543
"Nov 21, 2024",54900.00,56900.00,54700.00,56400.00,56400.00,19096850
"Nov 20, 2024",56100.00,56500.00,54800.00,55300.00,55300.00,20864667
"Nov 19, 2024",56500.00,57500.00,55900.00,56300.00,56300.00,31539632
"Nov 18, 2024",57000.00,57500.00,55900.00,56700.00,56700.00,48095234
"Nov 15, 2024",50300.00,54200.00,50300.00,53500.00,53500.00,46774485
"Nov 14, 2024",50200.00,51800.00,49900.00,49900.00,49900.00,48510715
"Nov 13, 2024",52000.00,53000.00,50500.00,50600.00,50600.00,52527995
"Nov 12, 2024",54600.00,54600.00,53000.00,53000.00,53000.00,37962881
"Nov 11, 2024",56700.00,56800.00,55000.00,55000.00,55000.00,29811326
"Nov 8, 2024",58000.00,58300.00,57000.00,57000.00,57000.00,13877396
"Nov 7, 2024",56900.00,58100.00,56800.00,57300.00,57300.00,17043102
"Nov 6, 2024",57600.00,58000.00,56300.00,57300.00,57300.00,22092218
"Nov 5, 2024",57800.00,58100.00,57200.00,57600.00,57600.00,17484474
"Nov 4, 2024",58600.00,59400.00,58400.00,58700.00,58700.00,15586947
"Nov 1, 2024",59000.00,59600.00,58100.00,58300.00,58300.00,19083180
"Oct 31, 2024",58500.00,61200.00,58300.00,59200.00,59200.00,35809196
"Oct 30, 2024",59100.00,59800.00,58600.00,59100.00,59100.00,19838511
"Oct 29, 2024",58000.00,59600.00,57300.00,59600.00,59600.00,28369314
"Oct 28, 2024",55700.00,58500.00,55700.00,58100.00,58100.00,27775009
"Oct 25, 2024",56000.00,56900.00,55800.00,55900.00,55900.00,25829315
"Oct 24, 2024",58200.00,58500.00,56600.00,56600.00,56600.00,31499922
"Oct 23, 2024",57500.00,60000.00,57100.00,59100.00,59100.00,27300780
"Oct 22, 2024",58800.00,58900.00,57700.00,57700.00,57700.00,27582527
"Oct 21, 2024",59000.00,59600.00,58500.00,59000.00,59000.00,18514905
"Oct 18, 2024",59900.00,60100.00,59100.00,59200.00,59200.00,14420260
"Oct 17, 2024",59400.00,60100.00,59100.00,59700.00,59700.00,23372873
"Oct 16, 2024",59400.00,60000.00,59200.00,59500.00,59500.00,23303268
"Oct 15, 2024",61100.00,61400.00,60100.00,61000.00,61000.00,22715239
"Oct 14, 2024",59500.00,61200.00,59400.00,59300.00,59300.00,20886249
"Oct 11, 2024",59100.00,60100.00,59000.00,59300.00,59300.00,29623969
"Oct 10, 2024",60100.00,60200.00,58900.00,58900.00,58900.00,45262214
"Oct 8, 2024",60000.00,61000.00,59900.00,60300.00,60300.00,27411786
"Oct 7, 2024",60200.00,61900.00,59500.00,61000.00,61000.00,35066533
"Oct 4, 2024",61000.00,61700.00,60500.00,60600.00,60600.00,24247578
"Oct 2, 2024",60500.00,61900.00,59900.00,61300.00,61300.00,28473536
"Sep 30, 2024",64200.00,64300.00,61500.00,61500.00,61500.00,32694163
"Sep 27, 2024",361.00 Dividend,361.00 Dividend,361.00 Dividend,361.00 Dividend,361.00 Dividend,361.00 Dividend
"Sep 27, 2024",64700.00,65400.00,64200.00,64200.00,64200.00,28433030
"Sep 26, 2024",63900.00,64900.00,63700.00,64700.00,64339.00,37566015
"Sep 25, 2024",63800.00,64200.00,62200.00,62200.00,61852.95,28652438
"Sep 24, 2024",62800.00,63400.00,62400.00,63200.00,62847.37,26957500
"Sep 23, 2024",62300.00,63500.00,62200.00,62600.00,62250.72,28542376
"Sep 20, 2024",63800.00,64700.00,63000.00,63000.00,62648.48,32746056
"Sep 19, 2024",64000.00,64400.00,62200.00,63100.00,62747.93,49402713
"Sep 13, 2024",65000.00,65500.00,64300.00,64400.00,64040.68,25045135
"Sep 12, 2024",66000.00,66600.00,65200.00,66300.00,65930.07,35884106
"Sep 11, 2024",65100.00,65500.00,64200.00,64900.00,64537.88,35809707
"Sep 10, 2024",67000.00,67300.00,66000.00,66200.00,65830.63,30651376
"Sep 9, 2024",66900.00,68200.00,66600.00,67500.00,67123.38,23263298
"Sep 6, 2024",69100.00,69700.00,68000.00,68900.00,68515.56,19022299
"Sep 5, 2024",70100.00,71200.00,69000.00,69000.00,68615.01,25686769
"Sep 4, 2024",69800.00,71100.00,69800.00,70000.00,69609.43,27366563
"Sep 3, 2024",74100.00,74300.00,72500.00,72500.00,72095.48,16314599
"Sep 2, 2024",74500.00,74700.00,73500.00,74400.00,73984.88,12641376
"Aug 30, 2024",74400.00,75000.00,74100.00,74300.00,73885.44,16358520
"Aug 29, 2024",73600.00,74700.00,73500.00,74000.00,73587.11,16884479
"Aug 28, 2024",75800.00,76400.00,75400.00,76400.00,75973.72,9794514
"Aug 27, 2024",75700.00,76500.00,75600.00,75800.00,75377.07,11130145
"Aug 26, 2024",78100.00,78200.00,76000.00,76100.00,75675.39,15655938
